Price,Change $,Change %,Previous Price,Closing Date,Distribution,Yield
30.3637,0.3399,1.1300,30.0238,3/14/2025,,
30.0238,-0.2729,-0.9000,30.2967,3/13/2025,,
30.2967,0.0657,0.2200,30.2310,3/12/2025,,
30.2310,-0.2086,-0.6900,30.4396,3/11/2025,,
30.4396,-0.7229,-2.3200,31.1625,3/10/2025,,
31.1625,-0.1320,-0.4200,31.2945,3/7/2025,,
31.2945,-0.6413,-2.0100,31.9358,3/6/2025,,
31.9358,0.1575,0.5000,31.7783,3/5/2025,,
31.7783,-0.6443,-1.9900,32.4226,3/4/2025,,
32.4226,-0.1818,-0.5600,32.6044,3/3/2025,,
32.6044,0.5391,1.6800,32.0653,2/28/2025,,
32.0653,-0.1852,-0.5700,32.2505,2/27/2025,,
32.2505,0.1808,0.5600,32.0697,2/26/2025,,
32.0697,0.0892,0.2800,31.9805,2/25/2025,,
31.9805,-0.0741,-0.2300,32.0546,2/24/2025,,
32.0546,-0.3685,-1.1400,32.4231,2/21/2025,,
32.4231,-0.4906,-1.4900,32.9137,2/20/2025,,
32.9137,0.0289,0.0900,32.8848,2/19/2025,,
32.8848,0.0572,0.1700,32.8276,2/18/2025,,
32.8276,-0.0167,-0.0500,32.8443,2/14/2025,,
32.8443,0.0077,0.0200,32.8366,2/13/2025,,
32.8366,-0.0462,-0.1400,32.8828,2/12/2025,,
32.8828,-0.0351,-0.1100,32.9179,2/11/2025,,
32.9179,0.2119,0.6500,32.7060,2/10/2025,,
32.7060,-0.3348,-1.0100,33.0408,2/7/2025,,
33.0408,0.0977,0.3000,32.9431,2/6/2025,,
32.9431,0.1984,0.6100,32.7447,2/5/2025,,
32.7447,-0.2931,-0.8900,33.0378,2/4/2025,,
33.0378,-0.1549,-0.4700,33.1927,2/3/2025,,
33.1927,0.0172,0.0500,33.1755,1/31/2025,,
33.1755,0.2571,0.7800,32.9184,1/30/2025,,
32.9184,0.0246,0.0700,32.8938,1/29/2025,,
32.8938,0.5282,1.6300,32.3656,1/28/2025,,
32.3656,-1.1634,-3.4700,33.5290,1/27/2025,,
33.5290,-0.3715,-1.1000,33.9005,1/24/2025,0.1838,
33.9005,0.1663,0.4900,33.7342,1/23/2025,,
33.7342,0.4041,1.2100,33.3301,1/22/2025,,
33.3301,0.4045,1.2300,32.9256,1/21/2025,,
32.9256,-0.3240,-0.9700,33.2496,1/20/2025,,
33.2496,0.5660,1.7300,32.6836,1/17/2025,,
32.6836,0.0860,0.2600,32.5976,1/16/2025,,
32.5976,0.6391,2.0000,31.9585,1/15/2025,,
31.9585,-0.0502,-0.1600,32.0087,1/14/2025,,
32.0087,-0.1260,-0.3900,32.1347,1/13/2025,,
32.1347,-0.3680,-1.1300,32.5027,1/10/2025,,
32.5027,0.0276,0.0900,32.4751,1/9/2025,,
32.4751,0.1060,0.3300,32.3691,1/8/2025,,
32.3691,-0.4037,-1.2300,32.7728,1/7/2025,,
32.7728,0.1516,0.4600,32.6212,1/6/2025,,
32.6212,0.4622,1.4400,32.1590,1/3/2025,,
32.1590,0.0461,0.1400,32.1129,1/2/2025,,
32.2568,-0.4675,-1.4300,32.7243,12/30/2024,,
32.7243,-0.3879,-1.1700,33.1122,12/27/2024,,
33.1122,0.4126,1.2600,32.6996,12/24/2024,,
32.6996,0.1741,0.5400,32.5255,12/23/2024,,
32.5255,0.2190,0.6800,32.3065,12/20/2024,,
32.3065,-0.0010,0.0000,32.3075,12/19/2024,,
32.3075,-0.7871,-2.3800,33.0946,12/18/2024,,
33.0946,-0.1496,-0.4500,33.2442,12/17/2024,,
33.2442,0.2905,0.8800,32.9537,12/16/2024,,
32.9537,-0.0259,-0.0800,32.9796,12/13/2024,,
32.9796,-0.0359,-0.1100,33.0155,12/12/2024,,
33.0155,0.3871,1.1900,32.6284,12/11/2024,,
32.6284,-0.1311,-0.4000,32.7595,12/10/2024,,
32.7595,-0.4628,-1.3900,33.2223,12/9/2024,,
33.2223,0.4268,1.3000,32.7955,12/6/2024,,
32.7955,-0.1120,-0.3400,32.9075,12/5/2024,,
32.9075,0.2681,0.8200,32.6394,12/4/2024,,
32.6394,0.1610,0.5000,32.4784,12/3/2024,,
32.4784,0.0959,0.3000,32.3825,12/2/2024,,
32.3825,0.1831,0.5700,32.1994,11/29/2024,,
32.1994,-0.0065,-0.0200,32.2059,11/28/2024,,
32.2059,-0.3256,-1.0000,32.5315,11/27/2024,,
32.5315,0.3699,1.1500,32.1616,11/26/2024,,
32.1616,-0.0870,-0.2700,32.2486,11/25/2024,,
32.2486,0.1608,0.5000,32.0878,11/22/2024,,
32.0878,0.2351,0.7400,31.8527,11/21/2024,,
31.8527,0.0016,0.0100,31.8511,11/20/2024,,
31.8511,0.1889,0.6000,31.6622,11/19/2024,,
31.6622,-0.1056,-0.3300,31.7678,11/18/2024,,
31.7678,-0.2639,-0.8200,32.0317,11/15/2024,,
32.0317,-0.0323,-0.1000,32.0640,11/14/2024,,
32.0640,0.1323,0.4100,31.9317,11/13/2024,,
31.9317,-0.0668,-0.2100,31.9985,11/12/2024,,
31.9985,0.1238,0.3900,31.8747,11/11/2024,,
31.8747,0.2363,0.7500,31.6384,11/8/2024,,
31.6384,-0.0036,-0.0100,31.6420,11/7/2024,,
31.6420,1.0943,3.5800,30.5477,11/6/2024,,
30.5477,0.3398,1.1200,30.2079,11/5/2024,,
30.2079,-0.1604,-0.5300,30.3683,11/4/2024,,
30.3683,0.1931,0.6400,30.1752,11/1/2024,,
30.1752,-0.5362,-1.7500,30.7114,10/31/2024,,
30.7114,-0.1999,-0.6500,30.9113,10/30/2024,,
30.9113,0.0814,0.2600,30.8299,10/29/2024,,
30.8299,0.0680,0.2200,30.7619,10/28/2024,,
30.7619,-0.0423,-0.1400,30.8042,10/25/2024,,
30.8042,0.0771,0.2500,30.7271,10/24/2024,,
30.7271,-0.1846,-0.6000,30.9117,10/23/2024,,
30.9117,-0.3057,-0.9800,31.2174,10/22/2024,,
31.2174,-0.0643,-0.2100,31.2817,10/21/2024,,
31.2817,0.1581,0.5100,31.1236,10/18/2024,,
31.1236,0.2794,0.9100,30.8442,10/17/2024,,
30.8442,0.1142,0.3700,30.7300,10/16/2024,,
30.7300,0.0094,0.0300,30.7206,10/15/2024,,
30.7206,0.2585,0.8500,30.4621,10/11/2024,,
30.4621,-0.0633,-0.2100,30.5254,10/10/2024,,
30.5254,0.3809,1.2600,30.1445,10/9/2024,,
30.1445,0.3939,1.3200,29.7506,10/8/2024,,
29.7506,-0.1690,-0.5600,29.9196,10/7/2024,,
29.9196,0.2473,0.8300,29.6723,10/4/2024,,
29.6723,0.0452,0.1500,29.6271,10/3/2024,,
29.6271,0.0675,0.2300,29.5596,10/2/2024,,
29.5596,-0.2964,-0.9900,29.8560,10/1/2024,,
29.8560,0.1639,0.5500,29.6921,9/30/2024,,
29.6921,-0.0695,-0.2300,29.7616,9/27/2024,,
29.7616,-0.0208,-0.0700,29.7824,9/26/2024,,
29.7824,0.0473,0.1600,29.7351,9/25/2024,,
29.7351,-0.1043,-0.3500,29.8394,9/24/2024,,
29.8394,-0.0806,-0.2700,29.9200,9/23/2024,,
29.9200,0.0149,0.0500,29.9051,9/20/2024,,
29.9051,0.2694,0.9100,29.6357,9/19/2024,,
29.6357,-0.0312,-0.1100,29.6669,9/18/2024,,
29.6669,-0.0977,-0.3300,29.7646,9/17/2024,,
29.7646,0.0960,0.3200,29.6686,9/16/2024,,
29.6686,0.2001,0.6800,29.4685,9/13/2024,,
29.4685,0.2626,0.9000,29.2059,9/12/2024,,
29.2059,0.0537,0.1800,29.1522,9/11/2024,,
29.1522,0.1567,0.5400,28.9955,9/10/2024,,
28.9955,0.2747,0.9600,28.7208,9/9/2024,,
28.7208,-0.2469,-0.8500,28.9677,9/6/2024,,
28.9677,-0.1607,-0.5500,29.1284,9/5/2024,,
29.1284,-0.0879,-0.3000,29.2163,9/4/2024,,
29.2163,-0.4911,-1.6500,29.7074,9/3/2024,,
29.7074,0.2357,0.8000,29.4717,8/30/2024,,
29.4717,0.0412,0.1400,29.4305,8/29/2024,,
29.4305,-0.0612,-0.2100,29.4917,8/28/2024,,
29.4917,0.0361,0.1200,29.4556,8/27/2024,,
29.4556,-0.1159,-0.3900,29.5715,8/26/2024,,
29.5715,0.1410,0.4800,29.4305,8/23/2024,,
29.4305,-0.1132,-0.3800,29.5437,8/22/2024,,
29.5437,0.0571,0.1900,29.4866,8/21/2024,,
29.4866,-0.0759,-0.2600,29.5625,8/20/2024,,
29.5625,0.1480,0.5000,29.4145,8/19/2024,,
29.4145,-0.0950,-0.3200,29.5095,8/16/2024,,
29.5095,0.4527,1.5600,29.0568,8/15/2024,,
29.0568,0.2287,0.7900,28.8281,8/14/2024,,
28.8281,0.2895,1.0100,28.5386,8/13/2024,,
28.5386,0.0178,0.0600,28.5208,8/12/2024,,
28.5208,0.2224,0.7900,28.2984,8/9/2024,,
28.2984,0.5984,2.1600,27.7000,8/8/2024,,
27.7000,-0.2644,-0.9500,27.9644,8/7/2024,,
27.9644,-0.5490,-1.9300,28.5134,8/6/2024,,
28.5134,-0.7643,-2.6100,29.2777,8/2/2024,,
29.2777,-0.2914,-0.9900,29.5691,8/1/2024,,
29.5691,0.2918,1.0000,29.2773,7/31/2024,,
29.2773,-0.1028,-0.3500,29.3801,7/30/2024,,
29.3801,-0.0583,-0.2000,29.4384,7/29/2024,,
29.4384,0.1782,0.6100,29.2602,7/26/2024,,
29.2602,-0.1957,-0.6600,29.4559,7/25/2024,,
29.4559,-0.6339,-2.1100,30.0898,7/24/2024,,
30.0898,0.1663,0.5600,29.9235,7/23/2024,,
29.9235,0.2463,0.8300,29.6772,7/22/2024,,
29.6772,-0.1151,-0.3900,29.7923,7/19/2024,,
29.7923,-0.2415,-0.8000,30.0338,7/18/2024,,
30.0338,-0.7835,-2.5400,30.8173,7/17/2024,,
30.8173,0.0276,0.0900,30.7897,7/16/2024,,
30.7897,0.1555,0.5100,30.6342,7/15/2024,,
30.6342,0.0698,0.2300,30.5644,7/12/2024,,
30.5644,-0.5453,-1.7500,31.1097,7/11/2024,,
31.1097,0.2954,0.9600,30.8143,7/10/2024,,
30.8143,-0.0156,-0.0500,30.8299,7/9/2024,,
30.8299,0.0287,0.0900,30.8012,7/8/2024,,
30.8012,0.3268,1.0700,30.4744,7/5/2024,,
30.4744,-0.0169,-0.0600,30.4913,7/4/2024,,
30.4913,0.0632,0.2100,30.4281,7/3/2024,,
30.4281,0.4111,1.3700,30.0170,7/2/2024,,
30.0170,-0.2247,-0.7400,30.2417,6/28/2024,,
30.2417,-0.0010,0.0000,30.2427,6/27/2024,,
30.2427,0.1198,0.4000,30.1229,6/26/2024,,
30.1229,0.2805,0.9400,29.8424,6/25/2024,,
29.8424,-0.2936,-0.9700,30.1360,6/24/2024,,
30.1360,-0.1724,-0.5700,30.3084,6/21/2024,,
30.3084,-0.3671,-1.2000,30.6755,6/20/2024,,
30.6755,-0.0194,-0.0600,30.6949,6/19/2024,,
30.6949,0.1316,0.4300,30.5633,6/18/2024,,
30.5633,0.3432,1.1400,30.2201,6/17/2024,,
30.2201,-0.0251,-0.0800,30.2452,6/14/2024,,
30.2452,0.0571,0.1900,30.1881,6/13/2024,,
30.1881,0.3028,1.0100,29.8853,6/12/2024,,
29.8853,-0.0109,-0.0400,29.8962,6/11/2024,,
29.8962,0.1749,0.5900,29.7213,6/10/2024,,
29.7213,0.1767,0.6000,29.5446,6/7/2024,,
29.5446,-0.1753,-0.5900,29.7199,6/6/2024,,
29.7199,0.4415,1.5100,29.2784,6/5/2024,,
29.2784,0.0643,0.2200,29.2141,6/4/2024,,
29.2141,0.0538,0.1800,29.1603,6/3/2024,,
29.1603,-0.0565,-0.1900,29.2168,5/31/2024,,
29.2168,-0.2502,-0.8500,29.4670,5/30/2024,,
29.4670,-0.0571,-0.1900,29.5241,5/29/2024,,
29.5241,0.0967,0.3300,29.4274,5/28/2024,,
29.4274,-0.0916,-0.3100,29.5190,5/27/2024,,
29.5190,0.1326,0.4500,29.3864,5/24/2024,,
29.3864,0.0133,0.0500,29.3731,5/23/2024,,
29.3731,-0.0969,-0.3300,29.4700,5/22/2024,,
29.4700,0.3340,1.1500,29.1360,5/21/2024,,
29.1360,0.0280,0.1000,29.1080,5/17/2024,,
29.1080,-0.2127,-0.7300,29.3207,5/16/2024,,
29.3207,0.2656,0.9100,29.0551,5/15/2024,,
29.0551,0.2138,0.7400,28.8413,5/14/2024,,
28.8413,-0.0979,-0.3400,28.9392,5/13/2024,,
28.9392,0.0395,0.1400,28.8997,5/10/2024,,
28.8997,-0.0495,-0.1700,28.9492,5/9/2024,,
28.9492,0.0380,0.1300,28.9112,5/8/2024,,
28.9112,0.1841,0.6400,28.7271,5/7/2024,,
28.7271,0.3791,1.3400,28.3480,5/6/2024,,
28.3480,0.2615,0.9300,28.0865,5/3/2024,,
28.0865,0.0407,0.1500,28.0458,5/2/2024,,
28.0458,-0.1549,-0.5500,28.2007,5/1/2024,,
28.2007,-0.1238,-0.4400,28.3245,4/30/2024,,
28.3245,-0.0452,-0.1600,28.3697,4/29/2024,,
28.3697,0.2870,1.0200,28.0827,4/26/2024,,
28.0827,-0.3459,-1.2200,28.4286,4/25/2024,,
28.4286,-0.1007,-0.3500,28.5293,4/24/2024,,
28.5293,0.3233,1.1500,28.2060,4/23/2024,,
28.2060,0.2318,0.8300,27.9742,4/22/2024,,
27.9742,-0.5310,-1.8600,28.5052,4/19/2024,,
28.5052,-0.2019,-0.7000,28.7071,4/18/2024,,
28.7071,-0.3446,-1.1900,29.0517,4/17/2024,,
29.0517,0.1446,0.5000,28.9071,4/16/2024,,
28.9071,-0.3021,-1.0300,29.2092,4/15/2024,,
29.2092,-0.3578,-1.2100,29.5670,4/12/2024,,
29.5670,0.2219,0.7600,29.3451,4/11/2024,,
29.3451,0.0250,0.0900,29.3201,4/10/2024,,
29.3201,-0.2188,-0.7400,29.5389,4/9/2024,,
29.5389,0.0455,0.1500,29.4934,4/8/2024,,
29.4934,0.6058,2.1000,28.8876,4/5/2024,,
28.8876,-0.5135,-1.7500,29.4011,4/4/2024,,
29.4011,0.0815,0.2800,29.3196,4/3/2024,,
29.3196,-0.1636,-0.5500,29.4832,4/2/2024,,
29.4832,0.0652,0.2200,29.4180,4/1/2024,,
29.4180,-0.1480,-0.5000,29.5660,3/28/2024,,
29.5660,0.0566,0.1900,29.5094,3/27/2024,,
29.5094,-0.1096,-0.3700,29.6190,3/26/2024,,
29.6190,-0.1656,-0.5600,29.7846,3/25/2024,,
29.7846,0.0815,0.2700,29.7031,3/22/2024,,
29.7031,0.2399,0.8100,29.4632,3/21/2024,,
29.4632,0.1313,0.4500,29.3319,3/20/2024,,
29.3319,0.2225,0.7600,29.1094,3/19/2024,,
29.1094,0.2555,0.8900,28.8539,3/18/2024,,
28.8539,-0.2322,-0.8000,29.0861,3/15/2024,,
29.0861,0.0376,0.1300,29.0485,3/14/2024,,
,,,,,,
